state,abbrev,ev,population,d16,r16,total16,pvi,pvi_party,pvi_margin,demographics,registration,turnout
Alabama,AL,9,4903185,729547,1318255,2123372,R14,R,14,,,
Alaska,AK,3,731545,116454,163387,318608,R9,R,9,,,
Arizona,AZ,11,7278717,1161167,1252401,2573165,R5,R,5,,,
Arkansas,AR,6,3017804,380494,684872,1130635,R15,R,15,,,
California,CA,55,39512223,8753788,4483810,14181595,D12,D,12,,,
Colorado,CO,9,5758736,1338870,1202484,2780247,D1,D,1,,,
Connecticut,CT,7,3565287,897572,673215,1644920,D6,D,6,,,
Delaware,DE,3,973764,235603,185127,443814,D43,D,43,,,
District_of_Columbia,DC,3,705749,282830,12723,311268,D6,D,6,,,
Florida,FL,29,21477737,4504975,4617886,9420039,R2,R,2,,,
Georgia,GA,16,10617423,1877963,2089104,4114732,R5,R,5,,,
Hawaii,HI,4,1415872,266891,128847,428937,D18,D,18,,,
Idaho,ID,4,1787065,189765,409055,690255,R19,R,19,,,
Illinois,IL,20,12671821,3090729,2146015,5536424,D7,D,7,,,
Indiana,IN,11,6732219,1033126,1557286,2734958,R9,R,9,,,
Iowa,IA,6,3155070,653669,800983,1566031,R3,R,3,,,
Kansas,KS,6,2913314,427005,671018,1184402,R13,R,13,,,
Kentucky,KY,8,4467673,628854,1202971,1924149,R15,R,15,,,
Louisiana,LA,8,4648794,780154,1178638,2029032,R11,R,11,,,
Maine_AL,ME_AL,2,1344212,357735,335593,747927,D3,D,3,,,
Maine_1,ME_1,1,683279,212774,154384,394329,D8,D,8,,,
Maine_2,ME_2,1,652869,144817,181177,353416,R2,R,2,,,
Maryland,MD,10,6045680,1677928,943169,2781446,D12,D,12,,,
Massachusetts,MA,11,6892503,1995196,1090893,3325046,D12,D,12,,,
Michigan,MI,16,9986857,2268839,2279543,4799284,D1,D,1,,,
Minnesota,MN,10,5639632,1367716,1322951,2944813,D1,D,1,,,
Mississippi,MS,6,2976149,485131,700714,1209357,R9,R,9,,,
Missouri,MO,10,6137428,1071068,1594511,2808605,R9,R,9,,,
Montana,MT,3,1068778,177709,279240,497147,R11,R,11,,,
Nebraska_AL,NE_AL,3,1934408,284494,495961,844227,R14,R,14,,,
Nebraska_1,NE_1,1,616728,100126,158626,282338,R11,R,11,,,
Nebraska_2,NE_2,1,652870,131030,137564,291680,R4,R,4,,,
Nebraska_3,NE_3,1,602579,53290,199657,270109,R27,R,27,,,
Nevada,NV,6,3080156,539260,512058,1125385,D1,D,1,,,
New_Hampshire,NH,4,1359711,348526,345790,744296,D1,D,1,,,
New_Jersey,NJ,14,8882190,2148278,1601933,3874046,D7,D,7,,,
New_Mexico,NM,5,2096829,385234,319667,798319,D3,D,3,,,
New_York,NY,29,19453561,4556124,2819534,7721453,D12,D,12,,,
North_Carolina,NC,15,10488084,2189316,2362631,4741564,R3,R,3,,,
North_Dakota,ND,3,762062,93758,216794,344360,R17,R,17,,,
Ohio,OH,18,11689100,2394164,2841005,5496487,R3,R,3,,,
Oklahoma,OK,7,3956971,420375,949136,1452992,R20,R,20,,,
Oregon,OR,7,4217737,1002106,782403,2001336,D5,D,5,,,
Pennsylvania,PA,20,12801989,2926441,2970733,6165478,E0,E,0,,,
Rhode_Island,RI,4,1059361,252525,180543,464144,D10,D,10,,,
South_Carolina,SC,9,5148714,855373,1155389,2103027,R8,R,8,,,
South_Dakota,SD,3,884659,117458,227721,370093,R14,R,14,,,
Tennessee,TN,11,6829174,870695,1522925,2508027,R14,R,14,,,
Texas,TX,38,28995881,3877868,4685047,8969226,R8,R,8,,,
Utah,UT,6,3205958,310676,515231,1131430,R20,R,20,,,
Vermont,VT,3,623989,178573,95369,315067,D15,D,15,,,
Virginia,VA,13,8535519,1981473,1769443,3984631,D1,D,1,,,
Washington,WA,12,7614893,1742718,1221747,3317019,D7,D,7,,,
WestVirginia,WV,5,1792147,188794,489371,714423,R19,R,19,,,
Wisconsin,WI,10,5822434,1382536,1405284,2976150,E0,E,0,,,
Wyoming,WY,3,578759,55973,174419,255849,R25,R,25,,,
